DAG
attr0 has 1 parent(s): {output}
attr1 has 1 parent(s): {output}
attr2 has 1 parent(s): {output}
attr3 has 1 parent(s): {output}
attr4 has 1 parent(s): {output}
attr5 has 1 parent(s): {output}
attr6 has 1 parent(s): {output}
attr7 has 1 parent(s): {output}
attr8 has 1 parent(s): {output}
attr9 has 1 parent(s): {output}
output has 0 parent(s): {}
GlobalHidden_0 has 0 parent(s): {}

Sample	GlobalHidden_0	 Accuracy
100	2.4659131695413303	0.47
200	2.4659131695413303	0.88
300	2.4659131695413303	0.89
400	2.4659131695413303	0.88
500	2.4659131695413303	0.9
600	2.4659131695413303	0.83
700	2.4659131695413303	0.92
800	2.4659131695413303	0.9
900	2.4659131695413303	0.85
1000	2.4659131695413303	0.85
1100	2.4659131695413303	0.92
1200	2.4659131695413303	0.9
1300	2.4659131695413303	0.86
1400	2.4659131695413303	0.86
1500	2.4659131695413303	0.85
1600	2.4659131695413303	0.86
1700	2.4659131695413303	0.88
1800	2.4659131695413303	0.87
1900	2.4659131695413303	0.92
2000	2.4659131695413303	0.89
2100	2.4659131695413303	0.78
2200	2.4659131695413303	0.84
2300	2.4659131695413303	0.86
2400	2.4659131695413303	0.81
2500	2.4659131695413303	0.91
2600	2.4659131695413303	0.86
2700	2.4659131695413303	0.8
2800	2.4659131695413303	0.87
2900	2.4659131695413303	0.79
3000	2.4659131695413303	0.83
3100	2.4659131695413303	0.8
3200	2.4659131695413303	0.86
3300	2.4659131695413303	0.83
3400	2.4659131695413303	0.88
3500	2.4659131695413303	0.82
3600	2.4659131695413303	0.8
3700	2.4659131695413303	0.88
3800	2.4659131695413303	0.76
3900	2.4659131695413303	0.81
4000	2.4659131695413303	0.8
4100	2.4659131695413303	0.8
4200	2.4659131695413303	0.81
4300	2.4659131695413303	0.71
4400	2.4659131695413303	0.82
4500	2.4659131695413303	0.83
4600	2.4659131695413303	0.83
4700	2.4659131695413303	0.82
4800	2.4659131695413303	0.83
4900	2.4659131695413303	0.88
5000	2.4659131695413303	0.86
5100	2.4659131695413303	0.84
5200	2.4659131695413303	0.78
5300	2.4659131695413303	0.76
5400	2.4659131695413303	0.8
5500	2.4659131695413303	0.81
5600	2.4659131695413303	0.86
5700	2.4659131695413303	0.77
5800	2.4659131695413303	0.79
5900	2.4659131695413303	0.74
6000	2.4659131695413303	0.81
6100	2.4659131695413303	0.79
6200	2.4659131695413303	0.84
6300	2.4659131695413303	0.84
6400	2.4659131695413303	0.78
6500	2.4659131695413303	0.78
6600	2.4659131695413303	0.85
6700	2.4659131695413303	0.77
6800	2.4659131695413303	0.84
6900	2.4659131695413303	0.79
7000	2.4659131695413303	0.79
7100	2.4659131695413303	0.89
7200	2.4659131695413303	0.8
7300	2.4659131695413303	0.8
7400	2.4659131695413303	0.8
7500	2.4659131695413303	0.81
7600	2.4659131695413303	0.81
7700	2.4659131695413303	0.75
7800	2.4659131695413303	0.81
7900	2.4659131695413303	0.72
8000	2.4659131695413303	0.81
8100	2.4659131695413303	0.77
8200	2.4659131695413303	0.79
8300	2.4659131695413303	0.74
8400	2.4659131695413303	0.76
8500	2.4659131695413303	0.8
8600	2.4659131695413303	0.82
8700	2.4659131695413303	0.75
8800	2.4659131695413303	0.77
8900	2.4659131695413303	0.73
9000	2.4659131695413303	0.72
9100	2.4659131695413303	0.77
9200	2.4659131695413303	0.84
9300	2.4659131695413303	0.76
9400	2.4659131695413303	0.78
9500	2.4659131695413303	0.75
9600	2.4659131695413303	0.81
9700	2.4659131695413303	0.78
9800	2.4659131695413303	0.78
9900	2.4659131695413303	0.79
10000	2.4659131695413303	0.8
0.8069306930693071
