1	0.7846955967346025
2	0.8059822565310046
3	0.8129171571799779
4	0.8071184732665768
5	0.80157576798124
6	0.8416867976527744
7	0.8153006028548604
8	0.8762639540484383
9	0.8727439019846454
10	0.8623091890428574
11	0.8783332275603837
12	0.8935087171431002
13	0.8768995605174537
14	0.8921329227227556
15	0.8734425755350865
16	0.86749503978746
17	0.8908403777786291
18	0.870426912718628
19	0.8904853609757591
20	0.9143038772448979
21	0.8773482281178169
22	0.8876446613371413
23	0.8841230738784681
24	0.9120750978527116
25	0.918283352511778
26	0.9107912591382611
27	0.8595147090197188
28	0.8973350142602724
29	0.9021957025230384
30	0.9060798344173046
31	0.9049653270755913
32	0.9227661755347515
33	0.9165438003569032
34	0.9097943572416118
35	0.9120084209837346
36	0.8989224040955611
37	0.9071662942586346
38	0.9253731519039129
39	0.9200058382225482
40	0.9093059619499114
41	0.9206791889670041
42	0.9130502305121502
43	0.9184535954946915
44	0.9190599933873596
45	0.9219086312026944
46	0.943342156249702
47	0.948143790328054
48	0.9355251044896299
49	0.9309391213739541
50	0.9366097481634884
51	0.9477390087549818
52	0.9253532323889982
53	0.9467528575089279
54	0.9411071654390172
55	0.9485340205337498
56	0.9469838392141472
57	0.9551839975243598
58	0.9413191569797262
59	0.9310075777347098
60	0.947880479678361
61	0.9271279379085758
62	0.9530996343654662
63	0.9481625612386363
64	0.9421318258474929
65	0.9456707126388374
66	0.9324007943881735
67	0.9355224338789506
68	0.9520500183982086
69	0.9367298430053319
70	0.9414258103736405
71	0.9604117719842451
Average Accuracy: 0.905704382730902
