0	-24.81110185550061	495.0
1	-24.90235291684128	479.0
2	-24.622916328835196	495.0
3	-25.857185303395045	399.0
4	-25.277064916703885	479.0
5	-25.292777062885644	495.0
6	-24.750780034605665	495.0
7	-24.01269437391834	479.0
8	-24.263842008839866	495.0
9	-63.59804421757205	383.0
10	-68.011723305002	479.0
11	-57.02932828959172	511.0
12	-34.16544554767268	447.0
13	-34.14356430520208	495.0
14	-33.84733015038198	479.0
15	-51.1083450891703	511.0
16	-55.98534294886854	479.0
17	-55.59759952645251	495.0
18	-54.90935284246218	495.0
19	-54.45387980515175	479.0
20	-55.71217421168551	511.0
21	-54.71668670778005	495.0
22	-53.70611916715474	479.0
23	-53.362539579593076	79.0
24	-56.39321149210809	463.0
25	-54.11607671858546	527.0
26	-53.73870274699129	511.0
27	-54.65722111147985	303.0
28	-58.97986501178747	495.0
29	-54.63825923821003	511.0
30	-53.85311799050472	479.0
31	-53.27562745086947	415.0
