0	-31.508622723396908	495.0
1	-31.731926780028015	479.0
2	-31.63899336111638	495.0
3	-32.50911569143942	399.0
4	-32.27268232380002	479.0
5	-32.288052179916264	495.0
6	-31.9569844863192	495.0
7	-31.3253583475981	479.0
8	-31.152482441878945	495.0
9	-62.0817802909422	383.0
10	-66.34136553048562	479.0
11	-62.52874974986679	511.0
12	-42.86671801895493	447.0
13	-41.450370616398146	495.0
14	-40.02987179606301	479.0
15	-55.53026678977361	511.0
16	-58.535114323945564	479.0
17	-57.27619791084283	495.0
18	-56.00470540583331	495.0
19	-56.60361201637606	479.0
20	-56.0852609325035	511.0
21	-57.64058048995712	495.0
22	-55.345136065709326	479.0
23	-54.88245758841436	79.0
24	-56.11650360169724	463.0
25	-54.172724776980665	527.0
26	-52.598157276338775	511.0
27	-54.51204989123618	303.0
28	-57.21088106392327	495.0
29	-54.19797331299079	511.0
30	-53.06189352377875	479.0
31	-52.53352450314126	415.0
